Seller ID,Sellers Main Category,Sign-up Time,Activation Time,1st Listing,1st Salable,1st Transaction,phe duyet,sau thu tuc,chuan bi,san pham dau tien
425,LifeStyle,2/2/2018,3/2/2018,2/9/2018,4/4/2018,6/1/2018,28,119,54,58
426,LifeStyle,3/23/2018,3/29/2018,4/26/2018,5/23/2018,5/22/2018,6,60,27,-1
427,BBFF,4/4/2018,5/14/2018,6/2/2018,6/4/2018,6/23/2018,40,80,2,19
428,Digital Service,4/5/2018,5/25/2018,6/4/2018,6/5/2018,7/26/2018,50,112,1,51
429,LifeStyle,4/27/2018,6/8/2018,5/2/2018,6/27/2018,6/28/2018,42,62,56,1
430,Book,5/28/2018,6/19/2018,6/20/2018,7/28/2018,7/29/2018,22,62,38,1
431,LifeStyle,5/28/2018,5/30/2018,7/17/2018,7/28/2018,7/29/2018,2,62,11,1
432,Electronic,5/29/2018,7/18/2018,6/20/2018,7/29/2018,8/14/2018,50,77,39,16
433,BBFF,8/10/2018,9/22/2018,10/9/2018,10/10/2018,10/18/2018,43,69,1,8
434,BBFF,2/1/2018,2/8/2018,3/12/2018,4/2/2018,4/12/2018,7,70,21,10
435,BBFF,2/5/2018,3/19/2018,3/26/2018,4/6/2018,4/9/2018,42,63,11,3
436,Electronic,3/24/2018,3/29/2018,5/21/2018,5/23/2018,6/1/2018,5,69,2,9
437,Digital Service,3/27/2018,4/18/2018,5/24/2018,5/26/2018,6/2/2018,22,67,2,7
438,LifeStyle,3/31/2018,4/12/2018,4/6/2018,5/30/2018,6/2/2018,12,63,54,3
